================ Training Loss (Sat Nov 21 23:25:51 2020) ================
(epoch: 25, iters: 264, time: 0.340, data: 0.049) loss: 0.149 
(epoch: 25, iters: 324, time: 0.338, data: 0.049) loss: 0.165 
(epoch: 25, iters: 384, time: 0.255, data: 0.054) loss: 0.161 
(epoch: 26, iters: 60, time: 0.336, data: 1.288) loss: 0.150 
(epoch: 26, iters: 120, time: 0.337, data: 0.000) loss: 0.167 
(epoch: 26, iters: 180, time: 0.340, data: 0.044) loss: 0.156 
(epoch: 26, iters: 240, time: 0.338, data: 0.099) loss: 0.151 
(epoch: 26, iters: 300, time: 0.337, data: 0.000) loss: 0.153 
(epoch: 26, iters: 360, time: 0.338, data: 0.045) loss: 0.160 
(epoch: 27, iters: 36, time: 0.344, data: 0.017) loss: 0.161 
(epoch: 27, iters: 96, time: 0.338, data: 0.109) loss: 0.211 
(epoch: 27, iters: 156, time: 0.344, data: 0.000) loss: 0.193 
(epoch: 27, iters: 216, time: 0.340, data: 0.051) loss: 0.251 
(epoch: 27, iters: 276, time: 0.338, data: 0.106) loss: 0.186 
(epoch: 27, iters: 336, time: 0.339, data: 0.000) loss: 0.173 
(epoch: 28, iters: 12, time: 0.343, data: 0.048) loss: 0.188 
(epoch: 28, iters: 72, time: 0.338, data: 0.000) loss: 0.191 
(epoch: 28, iters: 132, time: 0.342, data: 0.083) loss: 0.218 
(epoch: 28, iters: 192, time: 0.337, data: 0.065) loss: 0.185 
(epoch: 28, iters: 252, time: 0.340, data: 0.000) loss: 0.184 
(epoch: 28, iters: 312, time: 0.342, data: 0.090) loss: 0.196 
(epoch: 28, iters: 372, time: 0.338, data: 0.045) loss: 0.175 
(epoch: 29, iters: 48, time: 0.339, data: 0.000) loss: 0.189 
(epoch: 29, iters: 108, time: 0.338, data: 0.000) loss: 0.163 
(epoch: 29, iters: 168, time: 0.341, data: 0.094) loss: 0.164 
(epoch: 29, iters: 228, time: 0.340, data: 0.051) loss: 0.149 
(epoch: 29, iters: 288, time: 0.341, data: 0.000) loss: 0.169 
(epoch: 29, iters: 348, time: 0.340, data: 0.101) loss: 0.149 
(epoch: 30, iters: 24, time: 0.437, data: 0.021) loss: 0.164 
(epoch: 30, iters: 84, time: 0.338, data: 0.000) loss: 0.151 
(epoch: 30, iters: 144, time: 0.355, data: 0.096) loss: 0.157 
(epoch: 30, iters: 204, time: 0.348, data: 0.050) loss: 0.161 
(epoch: 30, iters: 264, time: 0.339, data: 0.000) loss: 0.153 
(epoch: 30, iters: 324, time: 0.342, data: 0.100) loss: 0.162 
(epoch: 30, iters: 384, time: 0.256, data: 0.044) loss: 0.171 
(epoch: 31, iters: 60, time: 0.342, data: 1.614) loss: 0.132 
(epoch: 31, iters: 120, time: 0.335, data: 0.000) loss: 0.122 
